Customer Account,Customer Account Age,Customer Nationality,Suspicious activity found in previous transactions,KYC Complied,Frequency of transaction in last 30 days,Average Transaction Amount
5991F9EA8,18.39,USA,0,1,8,34984.23
5991F9EA8,24.17,India,0,1,1,19843.31
5991F9EA8,26.85,India,0,1,6,27664.16
5991F9EA8,10.97,USA,1,1,6,44792.075
67F0E945E,6.64,USA,0,1,4,59639.99
67F0E945E,22.52,USA,0,0,3,52422.185
67F0E945E,22.39,USA,0,1,6,38302.51333
67F0E945E,14.8,India,0,1,3,108980.865
67F0E945E,1.34,India,0,1,5,91729.146
67F0E945E,18.5,Canada,0,0,3,82395.56833
67F0E945E,11.5,UK,0,0,5,82289.75714
67F0E945E,11.76,India,0,1,5,77790.25
67F0E945E,20.54,USA,0,0,4,71525.81
67F0E945E,26.42,USA,0,1,5,65165.378
67BEDD850,10.46,Canada,0,0,6,10851.25
67BEDD850,14.08,India,0,1,4,10296.12
67BEDD850,18.25,USA,0,1,5,8000.956667
67BEDD850,10.4,USA,0,1,7,15086.685
67BEDD850,14.52,USA,0,1,3,14617.264
67BEDD850,15.46,Canada,0,1,7,15417.13833
67BEDD850,27.17,India,0,1,5,14037.48286
BAEBC968A,5.59,India,0,0,7,595282.59
BAEBC968A,28.98,India,0,1,5,342347.56
BAEBC968A,22.76,Canada,0,0,10,237270.09
BAEBC968A,1.32,UK,0,0,9,189096.1025
BAEBC968A,11.5,USA,0,1,6,152086.098
BAEBC968A,23.24,UK,0,1,4,128339.0233
BAEBC968A,1.97,India,0,1,3,110588.6943
FC6C472C4,8.48,UK,0,0,6,4589.08
FC6C472C4,4.67,USA,0,0,7,3564.475
FC6C472C4,18.41,UK,0,0,8,47417.99667
FC6C472C4,17.15,USA,1,1,4,46152.15
FC6C472C4,1.17,USA,0,0,3,46383.718
FC6C472C4,10.24,USA,0,1,0.01,39465.90833
FC6C472C4,6.54,UK,0,0,9,38593.71714
FC6C472C4,21.66,USA,0,0,4,35838.01875
F89CA5819,29.38,Canada,0,1,3,92424.2
F89CA5819,20.37,UK,0,1,7,59735.7
F89CA5819,26.15,India,0,0,9,46105.80667
F89CA5819,12.56,USA,0,1,3,39291.4175
B55B93555,26.86,USA,1,0,4,4765.73
B55B93555,4.65,USA,0,1,7,4435.6
B55B93555,21.74,Canada,0,1,7,14026.63667
B55B93555,7.69,UK,0,0,9,12996.4
B55B93555,11.88,UK,0,1,0.01,12123.682
B55B93555,2.26,UK,0,1,7,10439.22833
B55B93555,13.31,UK,0,1,7,18396.36286
9A020EDCE,17.49,Canada,0,0,5,17052.37
9A020EDCE,8.02,India,0,1,6,26476.13
9A020EDCE,22.68,UK,0,1,4,23245.85333
9A020EDCE,20.05,Canada,0,1,6,19173.7025
9A020EDCE,16.72,Canada,0,0,5,51215.346
9A020EDCE,10.03,Canada,0,0,5,43271.29833
6.85E+06,3.18,Canada,0,1,3,70087.72
6.85E+06,1.94,UK,0,0,4,57939.72
6.85E+06,18.36,Canada,0,1,7,44349.39
6.85E+06,6.22,India,0,1,8,43379.02
6.85E+06,19.12,UK,0,1,4,43230.206
6.85E+06,21.58,USA,0,1,6,59474.01833
6.85E+06,11.4,USA,0,0,6,71547.66571
6.85E+06,11.24,USA,0,1,7,62784.6025
807EE9794,2.81,Canada,0,1,1,26508.71
807EE9794,25.53,UK,0,1,2,24059.68
807EE9794,5.07,UK,0,1,4,46823.19333
807EE9794,22.02,India,0,0,4,37590.2725
807EE9794,17.34,USA,0,1,4,34720.838
807EE9794,18.8,India,0,1,5,98129.625
807EE9794,9.11,USA,0,1,3,85226.12857
807EE9794,3.51,Switzerland,1,1,9,76313.65875
AE5D3CFAA,6.94,UK,0,1,3,11945.62
AE5D3CFAA,12.08,UK,0,1,3,61704.015
AE5D3CFAA,14.75,India,0,0,5,43939.58
AE5D3CFAA,13.93,Canada,0,1,5,36461.2625
AE5D3CFAA,1.62,UAE,0,0,2,29641.018
AE5D3CFAA,20.24,UK,0,1,3,34926.805
AE5D3CFAA,10.06,India,0,1,6,35488.72714
AF4BE109B,10.27,USA,0,1,4,9763.43
AF4BE109B,27.19,USA,1,1,3,6363.595
AF4BE109B,25.6,USA,0,0,4,9693.036667
AF4BE109B,24.03,UAE,0,1,7,11151.4675
7B017E3F6,29.37,UK,0,1,3,16032.01
7B017E3F6,24.29,Canada,0,0,8,16803.625
7B017E3F6,15.01,USA,0,1,2,23746
7B017E3F6,15.24,UK,1,1,6,18736.82
7B017E3F6,5.1,USA,0,1,9,31008.29
7B017E3F6,1.38,UK,0,1,5,31371.99833
7B017E3F6,14.49,India,0,1,7,28425.08143
7B017E3F6,28.04,USA,0,1,9,29986.54
7B017E3F6,7.19,India,0,0,5,33910.35222
3E057922B,18.22,India,0,1,8,29285.89
3E057922B,1.98,UK,0,1,4,24172.28
3E057922B,2.34,UK,0,1,6,18302.07667
3E057922B,24.21,UK,1,1,3,14626.5425
2C7A09FF3,25.38,USA,1,0,10,187987.45
2C7A09FF3,20.31,UK,1,0,4,99402.4
2C7A09FF3,14.2,UK,0,0,2,69621.21
2C7A09FF3,18.83,USA,0,0,9,65940.5875
2C7A09FF3,19.33,UK,0,1,2,59853.418
2C7A09FF3,27.14,India,0,0,8,52400.83167
2C7A09FF3,17.73,USA,0,1,4,45724.95286
2C7A09FF3,15.22,USA,0,1,5,40772.4975
2C7A09FF3,21.18,USA,0,1,6,40523.18222
2C7A09FF3,19.66,UK,0,0,10,43676.063
DF9D79089,14.95,Canada,0,0,6,1113.05
DF9D79089,8.93,Canada,0,0,5,5029.89
DF9D79089,2.46,USA,0,1,4,16089.40333
DF9D79089,17.77,India,0,1,5,12342.535
DF9D79089,6.63,India,0,1,7,14040.302
68FA37C73,1.78,UK,0,0,5,19584.82
68FA37C73,5.22,UK,0,1,7,19554.09
F873194E9,22.69,USA,0,1,5,3174.23
F873194E9,20,USA,1,1,6,30748.525
3380E3054,20.42,India,0,0,4,88739.76
3380E3054,20.6,India,0,1,2,67343.185
3380E3054,6.22,Canada,0,1,5,46863.13667
3380E3054,24.71,UK,0,1,4,35919.66
3380E3054,8.82,USA,0,1,11,42535.704
3380E3054,29.55,Canada,0,1,5,38718.62333
3380E3054,27.57,India,0,1,2,33859.14714
69A8BF5F4,7.69,India,0,0,7,158291.91
69A8BF5F4,24.2,Canada,0,1,3,83639.56
18F5C169F,24.98,India,0,1,4,322288.31
18F5C169F,16.99,UK,0,1,1,177415.13
18F5C169F,8.39,UK,1,1,7,149569.73
18F5C169F,25.86,USA,0,0,4,143795.87
59154EFE4,13.91,USA,1,1,5,1360450.15
59154EFE4,18.39,UK,0,1,11,705180.82
59154EFE4,24.51,USA,0,1,5,502906.5033
59154EFE4,19.07,UK,0,1,4,391287.735
59154EFE4,12.7,India,1,1,6,313082.73
59154EFE4,29.76,India,0,0,5,261415.8867
59154EFE4,3.65,UK,0,1,3,233558.1414
59154EFE4,24.88,Canada,0,1,5,239363.2087
59154EFE4,5.15,UK,0,1,4,214213.7633
BAB90C66E,6.12,UAE,0,1,10,6671.58
BAB90C66E,2.19,India,0,1,6,26951.9
BAB90C66E,25.99,USA,0,1,5,33409.76333
BAB90C66E,10.16,USA,0,1,3,229720.7875
BAB90C66E,3.54,USA,0,1,4,200193.206
BAB90C66E,15.6,USA,1,1,4,173574.84
BAB90C66E,16.09,India,0,0,6,148892.9714
BAB90C66E,8.85,UK,0,0,6,130711.66
BAB90C66E,12.09,UK,0,1,2,139092.6333
BAB90C66E,6.83,UK,0,1,12,125841.647
A83EA5511,5.52,UAE,0,1,5,192675.34
A83EA5511,25.39,USA,0,0,3,97991.71
A83EA5511,29.31,India,0,1,7,68536.10333
A83EA5511,13.39,UK,0,1,7,52958.96
A83EA5511,10.02,USA,0,1,5,42690.89
CA2989965,12.12,India,1,0,2,666711.43
CA2989965,15.29,UAE,0,0,6,360672.195
CA2989965,10.95,USA,0,1,6,241104.4733
CA2989965,6.79,USA,0,1,4,248627.43
CA2989965,29.21,UK,0,1,7,199808.518
CA2989965,18.7,USA,0,1,6,172319.1417
9EF2F4E05,29.63,Canada,0,1,4,33395.8
9EF2F4E05,22.69,USA,0,1,4,19801.875
9EF2F4E05,11.35,USA,0,1,5,14620.2
9EF2F4E05,27.19,UK,0,1,4,19537.505
9EF2F4E05,27.89,Canada,0,1,13,19688.88
9EF2F4E05,6.54,Canada,0,1,5,21919.98667
9EF2F4E05,8.5,India,0,1,6,19492.01571
9EF2F4E05,9.29,USA,0,1,5,17234.54625
9EF2F4E05,3.91,USA,0,1,6,16363.77333
BC541C76F,23.85,India,0,1,3,166375.14
BC541C76F,9.28,Canada,0,0,3,90824.985
BC541C76F,17.43,Canada,0,1,6,110552.3367
BC541C76F,6.15,India,0,1,3,100363.9975
BC541C76F,1.15,USA,0,1,4,81916.726
BC541C76F,25.33,USA,0,1,5,87677.84
